semana,demanda_predicha
1,335.54409344108814
2,168.9115245589325
3,171.3085918017739
4,169.49046975923483
5,166.2936387909078
6,168.9363891948568
7,169.92703595627924
8,168.72064233172608
9,174.14047681019537
10,294.3947034675783
11,386.3392487998723
12,383.9722861131213
13,383.0359261951286
14,379.3359155550897
15,385.86094284373326
16,382.2827492172357
17,382.3321468705666
18,386.42454357173597
19,454.591631076874
20,502.95059674717913
21,509.1217952555541
22,507.86024050220294
23,502.71578818603325
24,509.14403997411375
25,505.68559018704934
26,506.8603875418812
27,505.8168360474707
28,506.41458684388215
29,484.70480697555894
30,476.89962756065404
31,473.1803356726115
32,475.98284596922366
33,471.69839153836523
34,474.9630451336396
35,478.1485670417038
36,474.549875119024
37,472.42470729399906
38,473.35653846142
39,404.9994349114712
40,355.99993195821025
41,356.9888435518967
42,357.4649900331066
43,350.3607653435326
44,365.15118531990726
45,363.3888738592644
46,364.2639054833914
47,222.33500521372213
48,49.04812351665953
49,47.45985632556502
50,43.17472246476835
51,43.53293204455652
52,506.8584334351057
