fecha,usuarios_diarios,tiempo_servicio_min,costo_servicio,capacidad_maxima_diaria,dia_semana,es_finde,demanda_predicha,mes,semana
2024-01-01,23.993428306022466,43.224092481810416,1015.0726377857236,32.91632767470248,0,0,25.763488025135963,1,1
2024-01-02,22.72347139765763,39.01259240078179,594.9208197881079,32.34648847589799,1,0,23.576181922819668,1,1
2024-01-03,24.295377076201383,40.09767609854883,566.7177818662822,32.99801010985965,2,0,25.763488025135963,1,1
2024-01-04,26.04605971281605,42.226990216144536,2224.699874120652,29.10374462180631,3,0,23.37706804256222,1,1
2024-01-05,22.531693250553328,47.02451017425894,1240.1014867156937,34.088374704780726,4,0,25.50840141956965,1,1
2024-01-06,22.53172608610164,48.49799829124545,1272.2145491972756,31.860410371844825,5,1,23.576181922819668,1,1
2024-01-07,26.158425631014783,57.45114360779504,3385.343722223129,33.10818281673752,6,1,25.220900305692297,1,1
2024-01-08,24.534869458305817,57.95927082608521,4988.418503250907,30.96009407287447,0,0,24.02287977292269,1,2
2024-01-09,22.061051228130097,61.153182457511555,3245.526288433418,32.61277390506257,1,0,24.673822596500745,1,2
2024-01-10,24.08512008717193,57.23265243711195,3138.071151663215,30.946584436826345,2,0,23.721309420703513,1,2
2024-01-11,22.073164614375074,42.87232063672068,1796.119071115216,31.376231039304194,3,0,23.075776654045658,1,2
2024-01-12,22.068540492859487,48.18334200573835,1340.8945525105416,33.91403135386679,4,0,25.50840141956965,1,2
2024-01-13,23.48392454313207,48.18980293321767,1302.492951023456,31.809317599236653,5,1,23.576181922819668,1,2
2024-01-14,19.173439510684403,51.19170171464485,3526.4628093423266,32.217432873179725,6,1,23.391479054288162,1,2
2024-01-15,19.550164334973935,45.16027815781922,1675.888338223854,32.87006773068875,0,0,24.673822596500745,1,3
2024-01-16,21.875424941518055,47.40060735455598,3004.590853382334,32.4956818879726,1,0,23.391479054288162,1,3
2024-01-17,20.974337759331153,42.876104275690196,3209.4041098504026,32.150418905143574,2,0,23.391479054288162,1,3
2024-01-18,23.628494665190548,52.47424497831924,1672.2769451575887,32.364961002466224,3,0,23.929391848299282,1,3
2024-01-19,21.183951848957577,55.2408673384463,859.6883376944548,34.40341558523828,4,0,25.50840141956965,1,3
2024-01-20,20.175392597329417,45.15039378647621,1358.0057697191833,31.942381202966416,5,1,23.391479054288162,1,3
2024-01-21,25.931297537843108,44.34175597577716,1359.5263373511334,32.201099046714965,6,1,24.289121469530954,1,3
2024-01-22,22.54844739902693,39.87617083921589,1224.462089830392,33.05065439600761,0,0,24.673822596500745,1,4
2024-01-23,23.13505640937585,55.95042383818605,2397.310055558403,33.10552593295798,1,0,24.673822596500745,1,4
2024-01-24,20.150503627573087,56.423096344337594,2221.2191032418696,33.18703030556038,2,0,24.673822596500745,1,4
2024-01-25,21.911234550949636,34.101585328651645,688.0558950440444,32.63873022202918,3,0,24.673822596500745,1,4
2024-01-26,23.22184517941973,47.4919191715065,2375.641806184744,30.856995087269517,4,0,23.576181922819668,1,4
2024-01-27,20.698012845155393,41.67976679297936,339.82211099093934,33.633431532301096,5,1,25.3032830440445,1,4
2024-01-28,23.751396036691343,50.83145876585435,2730.4754939704494,30.853654606981312,6,1,23.721309420703513,1,4
2024-01-29,21.79872262016239,57.17944012072129,3845.7681086881116,32.302635465239035,0,0,23.391479054288162,1,5
2024-01-30,22.416612500413446,41.5308243478953,143.24049073226806,31.245724149980642,1,0,23.075776654045658,1,5
2024-01-31,21.796586775541208,39.28686547090912,4127.46422691344,31.935861653407006,2,0,23.391479054288162,1,5
2024-02-01,26.704556369017876,36.35387237416541,1446.0370050137674,32.32876241030348,3,0,26.098283759085625,2,5
2024-02-02,22.97300555052413,56.885460154747385,4480.933666314284,32.32135721545027,4,0,23.576181922819668,2,5
2024-02-03,20.8845781420882,40.23781631197346,2294.281178743706,32.42192075423529,5,1,23.391479054288162,2,5
2024-02-04,24.645089824206377,35.405572341205634,353.0805754751519,33.61371126905865,6,1,25.220900305692297,2,5
2024-02-05,20.558312700057954,51.40062497704623,3076.210031781776,32.45353430151398,0,0,23.391479054288162,2,6
2024-02-06,23.41772719000951,45.005243699718186,2307.3816471106115,31.755843364709353,1,0,23.576181922819668,2,6
2024-02-07,19.08065975224045,43.046980593764744,3048.4324278998465,32.96408716828836,2,0,24.673822596500745,2,6
2024-02-08,20.34362790220314,32.54993452852076,847.6875967727738,33.18947048892464,3,0,24.673822596500745,2,6
2024-02-09,23.393722471738247,39.6228499323475,938.8166612052867,30.77239218486301,4,0,23.576181922819668,2,6
2024-02-10,24.47693315999082,31.932379570617407,316.1203869527761,32.59740006984986,5,1,24.90244575843731,2,6
2024-02-11,23.34273656237994,39.857620514978706,301.6277224813365,32.701172742310895,6,1,24.5204911796615,2,6
2024-02-12,22.768703435223518,41.1202956317119,3810.72049811086,31.702436496640008,0,0,23.576181922819668,2,7
